Sicista armenica
Aethomys kaiseri
Crateromys schadenbergi
Hybomys planifrons
Heimyscus fumosus
Taeromys punicans
Oligoryzomys flavescens
Reithrodontomys raviventris
Gerbillus juliani
Ctenomys fulvus
Kerodon rupestris
Diplomys caniceps
Marmota marmota
Tamias ochrogenys
Glyphotes simus
Rhinosciurus laticaudatus
Papio hamadryas
Callicebus cupreus
Australophocaena dioptrica
Monachus monachus
Alopex lagopus
Aethalops alecto
Taphozous australis
Saccopteryx canescens
Tylonycteris pachypus
Eptesicus douglasorum
Murina ussuriensis
Sorex excelsus
Bradypus torquatus
Chlorotalpa tytonis
